score,SMILES,Name
1.0,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CNC(N)=O)nc12,389612_146501451_1531037
0.847457627118644,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CNC(=N)N)nc12,389612_146501451_1576365
0.847457627118644,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CNC(=N)N)nc12,389612_146501451_2384694
0.7868852459016393,COc1ccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CNC(N)=O)nc2c1OC,36404812_146501451_1531037
0.7796610169491526,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CC(N)=O)nc12,389612_146501451_1532556
0.7777777777777778,COc1cccc2c(=O)n(C3CC(O)(C(=O)O)C3)c([C@@H](N)CNC(N)=O)nc12,389612_114118812_1531037
0.7777777777777778,COc1cccc2c(=O)n([C@@H]3CC[C@@H](O)[C@@H]3O)c([C@@H](N)CNC(N)=O)nc12,389612_34071169_1531037
0.765625,COc1cccc2c(=O)n([C@H]3COC[C@@H]3O)c([C@@H](N)CNC(N)=O)nc12,389612_12957834_1531037
0.765625,COc1cccc2c(=O)n([C@@H]3CN(C)C[C@H]3O)c([C@@H](N)CNC(N)=O)nc12,389612_34278490_1531037
0.765625,COc1cccc2c(=O)n([C@@H]3COC[C@H]3O)c([C@@H](N)CNC(N)=O)nc12,389612_12957829_1531037
0.765625,COc1cccc2c(=O)n(C3CN(CCO)C3)c([C@@H](N)CNC(N)=O)nc12,389612_82601602_1531037
0.7586206896551724,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CO)nc12,389612_146501451_895034
0.7586206896551724,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CO)nc12,389612_146501451_895342
0.7575757575757576,COc1cccc2c(=O)n([C@H]3CN[C@H](C(=O)O)C3)c([C@@H](N)CNC(N)=O)nc12,389612_95831405_1531037
0.7540983606557377,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CCC(N)=O)nc12,389612_146501451_1532609
0.7457627118644068,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CCN)nc12,389612_146501451_53122793
0.7457627118644068,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CCN)nc12,389612_146501451_52986906
0.7377049180327869,NC(=O)NC[C@H](N)c1nc2c(C(=O)O)cccc2c(=O)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,153908_146501451_1531037
0.7333333333333333,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CCO)nc12,389612_146501451_1742215
0.7333333333333333,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(CNC(N)=O)nc12,389612_146501451_1464311
0.7333333333333333,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CCO)nc12,389612_146501451_895146
0.7313432835820896,COc1cccc2c(=O)n([C@H]3CO[C@H]4[C@@H]3OC[C@H]4O)c([C@@H](N)CNC(N)=O)nc12,389612_49587762_1531037
0.7313432835820896,COc1cccc2c(=O)n([C@H]3CO[C@H]4[C@@H]3OC[C@@H]4O)c([C@@H](N)CNC(N)=O)nc12,389612_104600679_1531037
0.7301587301587301,COc1nccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CNC(N)=O)nc12,72319657_146501451_1531037
0.7258064516129032,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)COC(C)=O)nc12,389612_146501451_895446
0.7258064516129032,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)COC(C)=O)nc12,389612_146501451_1747043
0.7230769230769231,COc1cccc2c(=O)n(C3[C@H]4CS(=O)(=O)C[C@H]34)c([C@@H](N)CNC(N)=O)nc12,389612_211858069_1531037
0.7213114754098361,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CN(C)C)nc12,389612_146501451_19366520
0.7213114754098361,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CN(C)C)nc12,389612_146501451_35024242
0.7142857142857143,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](CO)NC(N)=O)nc12,389612_146501451_2626461
0.7142857142857143,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](CO)NC(N)=O)nc12,389612_146501451_2522564
0.6833333333333333,NC(=O)NC[C@H](N)c1nc2ccccc2c(=O)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,47985_146501451_1531037
0.6833333333333333,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(C(CN)CN)nc12,389612_146501451_114812654
0.6764705882352942,COc1cccc2c(=O)n(C3CC(O)(C(=O)O)C3)c([C@@H](N)CNC(=N)N)nc12,389612_114118812_2384694
0.6724137931034483,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(C(O)O)nc12,389612_146501451_6660936
0.6721311475409836,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)[C@H](C)O)nc12,389612_146501451_1747072
0.6721311475409836,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)[C@@H](C)O)nc12,389612_146501451_895103
0.6721311475409836,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](O)CN)nc12,389612_146501451_2034711
0.671875,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](C)NC(=O)CN)nc12,389612_146501451_1605215
0.671875,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](C)NC(=O)CN)nc12,389612_146501451_1730665
0.6666666666666666,COC(=O)C(C(=O)OC)n1c([C@@H](N)CNC(N)=O)nc2c(OC)cccc2c1=O,389612_36532919_1531037
0.6666666666666666,COc1cccc2c(=O)n(C[C@H]3COC[C@@H]3O)c([C@@H](N)CNC(N)=O)nc12,389612_76570824_1531037
0.6666666666666666,COc1cccc2c(=O)n(C(=O)CO)c([C@@H](N)CNC(N)=O)nc12,389612_4692578_1531037
0.6666666666666666,COc1ccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](N)CNC(=N)N)nc2c1OC,36404812_146501451_2384694
0.6666666666666666,COc1ccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](N)CNC(=N)N)nc2c1OC,36404812_146501451_1576365
0.6619718309859155,COc1cccc2c(=O)n([C@H]3CN[C@H](C(=O)O)C3)c([C@@H](N)CNC(=N)N)nc12,389612_95831405_2384694
0.6619718309859155,COc1cccc2c(=O)n([C@H]3CN[C@H](C(=O)O)C3)c([C@H](N)CNC(=N)N)nc12,389612_95831405_1576365
0.6617647058823529,COc1cccc2c(=O)n([C@@H]3CC[C@@H](O)[C@@H]3O)c([C@H](N)CNC(=N)N)nc12,389612_34071169_1576365
0.6617647058823529,COc1cccc2c(=O)n([C@@H]3CC[C@@H](O)[C@@H]3O)c([C@@H](N)CNC(=N)N)nc12,389612_34071169_2384694
0.6615384615384615,COc1ccc2nc([C@@H](N)CNC(N)=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(=O)c2c1,1715572_146501451_1531037
0.6612903225806451,NC(=O)NC[C@H](N)c1nc2ncccc2c(=O)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,331646_146501451_1531037
0.6521739130434783,COc1cccc2c(=O)n(C3CN(CCO)C3)c([C@@H](N)CNC(=N)N)nc12,389612_82601602_2384694
0.6521739130434783,COc1cccc2c(=O)n([C@@H]3COC[C@H]3O)c([C@@H](N)CNC(=N)N)nc12,389612_12957829_2384694
0.6521739130434783,COc1cccc2c(=O)n([C@H]3COC[C@@H]3O)c([C@H](N)CNC(=N)N)nc12,389612_12957834_1576365
0.6521739130434783,COc1cccc2c(=O)n([C@@H]3CN(C)C[C@H]3O)c([C@@H](N)CNC(=N)N)nc12,389612_34278490_2384694
0.6521739130434783,COc1cccc2c(=O)n(C3CN(CCO)C3)c([C@H](N)CNC(=N)N)nc12,389612_82601602_1576365
0.6521739130434783,COc1cccc2c(=O)n([C@H]3COC[C@@H]3O)c([C@@H](N)CNC(=N)N)nc12,389612_12957834_2384694
0.6521739130434783,COc1cccc2c(=O)n([C@@H]3CN(C)C[C@H]3O)c([C@H](N)CNC(=N)N)nc12,389612_34278490_1576365
0.6507936507936508,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](CN)CO)nc12,389612_146501451_12502813
0.6507936507936508,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](O)CCN)nc12,389612_146501451_2019611
0.6507936507936508,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](CN)CO)nc12,389612_146501451_12502811
0.6470588235294118,COc1cccc2c(=O)n(C(=O)[C@H]3CCN3)c([C@@H](N)CNC(N)=O)nc12,389612_13375224_1531037
0.6470588235294118,COc1cccc2c(=O)n(C(=O)[C@H]3[C@@H]4CNC[C@@H]43)c([C@@H](N)CNC(N)=O)nc12,389612_103523515_1531037
0.6461538461538462,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](CO)NC(C)=O)nc12,389612_146501451_158174
0.6461538461538462,COc1cccc2c(=O)n(C(C)(CO)CO)c([C@@H](N)CNC(N)=O)nc12,389612_967755_1531037
0.6461538461538462,COc1cccc2c(=O)n(C(=N)CO)c([C@@H](N)CNC(N)=O)nc12,389612_4682886_1531037
0.6461538461538462,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](CO)NC(C)=O)nc12,389612_146501451_158173
0.6451612903225806,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(CC(N)=O)nc12,389612_146501451_901948
0.6417910447761194,COCC(O)(COC)Cn1c([C@@H](N)CNC(N)=O)nc2c(OC)cccc2c1=O,389612_702630473_1531037
0.640625,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(C[C@H](N)C(N)=O)nc12,389612_146501451_2516163
0.640625,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c(CNC(=N)N)nc12,389612_146501451_895314
0.639344262295082,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@@H](O)[C@@H](C)O)nc12,389612_146501451_1695855
0.639344262295082,COc1cccc2c(=O)n([C@@H]3C[C@@H](O)[C@@H](O)C3)c([C@H](O)[C@@H](C)O)nc12,389612_146501451_1695857
